Frequency [Hz];Amplitude ratio;Phase shift [deg]
2436;3.65450659783251;-157.83074979148242
2441;3.609017998836018;-158.11186218077594
2446;3.5645980362118808;-158.38616646010146
2451;3.5212129433695045;-158.65390327818312
2456;3.4788302017455703;-158.91530264993932
2461;3.4374184948839113;-159.17058450280675
2466;3.396947663498418;-159.4199591923585
2471;3.3573886616291104;-159.66362798896765
2476;3.318713513974039;-159.90178353719082
2481;3.2808952744582367;-160.13461028944866
2486;3.243907986081156;-160.3622849155043
2491;3.2077266420689052;-160.58497668915305
2496;3.172327148343981;-160.80284785346188
2501;3.1376862873144433;-161.01605396581817
2506;3.1037816829756517;-161.22474422397565
2511;3.0705917673099505;-161.42906177421716
2516;3.038095747964161;-161.6291440026862
2521;3.0062735771796842;-161.82512281087787
2526;2.975105921946545;-162.01712487621947
2531;2.9445741353495687;-162.20527189861676
2536;2.9146602290728496;-162.38968083378666
2541;2.8853468470273476;-162.5704641141487
2546;2.856617240064874;-162.747729858001
2551;2.8284552417417554;-162.9215820676604
2556;2.800845245094757;-163.09212081720685
2561;2.7737721803920707;-163.2594424304319
2566;2.747221493822534;-163.4236396495544
2571;2.721179127086562;-163.58480179523272
2576;2.6956314978529754;-163.74301491837105
2581;2.6705654810468658;-163.89836194418362
2586;2.645968390934112;-164.05092280895826
2591;2.6218279639694946;-164.2007745899279
2596;2.598132342376172;-164.34799162863771
2601;2.5748700584252426;-164.49264564817065
2606;2.5520300193853744;-164.6348058645729
2611;2.5296014931133324;-164.7745390927991
2616;2.5075740942576066;-164.91190984747914
2621;2.4859377710479675;-165.04698043879023
2626;2.4646827926453545;-165.1798110637
2631;2.4437997370271134;-165.31045989283206
2636;2.4232794793838766;-165.43898315318913
2641;2.4031131810052715;-165.56543520695658
2646;2.3832922786326707;-165.68986862659392
2651;2.363808474258013;-165.8123342664131
2656;2.344653725348856;-165.93288133082686
2661;2.325820235480544;-166.05155743944246
2666;2.3073004453571326;-166.16840868916628
2671;2.289087024203894;-166.28347971347247
2676;2.2711728615145694;-166.3968137389834
2681;2.2535510591376595;-166.508452639499
2686;2.2362149236864526;-166.61843698760578
2691;2.219157959258519;-166.72680610398723
2696;2.2023738604507828;-166.83359810455272
2701;2.1858565056570716;-166.9388499454933
2706;2.169599950635575;-167.04259746636856
2711;2.1535984223343463;-167.14487543132128
2716;2.1378463129633527;-167.2457175685135
2721;2.122338174302298;-167.34515660786965
2726;2.1070687122337954;-167.4432243172104
2731;2.0920327814920885;-167.53995153685491
2736;2.077225380617829;-167.63536821276503
2741;2.062641647109991;-167.72950342830188
2746;2.048276852766346;-167.82238543466045
2751;2.034126399204388;-167.91404168004476
2756;2.020185813554781;-168.00449883764398
2761;2.006450744320152;-168.09378283246414
2766;1.9929169573919037;-168.18191886706995
2771;1.9795803322184995;-168.26893144628667
2776;1.9664368581186256;-168.3548444009103
2781;1.9534826307332411;-168.4396809104711
2786;1.9407138486105227;-168.52346352509397
2791;1.9281268099182132;-168.60621418649635
2796;1.9157179092780148;-168.6879542481623
2801;1.9034836347168687;-168.76870449473077
2806;1.8914205647304012;-168.84848516063147
2811;1.8795253654537696;-168.9273159480028
2816;1.867794787935538;-169.00521604392327
2821;1.856225665510377;-169.0822041369861
2826;1.8448149112665062;-169.15829843324622
2831;1.8335595156040054;-169.23351667156663
2836;1.8224565438804212;-169.30787613838953
2841;1.8115031341399912;-169.3813936819578
2846;1.800696494923257;-169.45408572600982
2851;1.790033903153789;-169.52596828296942
2856;1.7795127020989485;-169.59705696665347
2861;1.7691302994017502;-169.66736700451645
2866;1.7588841651810518;-169.73691324945133
2871;1.7487718301973425;-169.8057101911659
2876;1.7387908840815902;-169.87377196715113
2881;1.7289389736246388;-169.9411123732592
2886;1.719213801124888;-170.00774487390666
2891;1.7096131227919287;-170.07368261191777
2896;1.7001347472039934;-170.1389384180234
2901;1.6907765338172087;-170.20352482002855
2906;1.681536391524612;-170.26745405166167
2911;1.6724122772630612;-170.33073806111952
2916;1.6634021946662658;-170.3933885193184
2921;1.6545041927621216;-170.45541682786396
2926;1.6457163647127768;-170.51683412675052
2931;1.6370368465957756;-170.57765130180056
2936;1.6284638162247593;-170.63787899185402
2941;1.6199954920082975;-170.69752759571776
2946;1.6116301318453894;-170.75660727888382
2951;1.6033660320563485;-170.81512798002552
2956;1.595201526347734;-170.8730994172798
2961;1.5871349848100993;-170.93053109432432
2966;1.5791648129474016;-170.9874323062561
2971;1.571289450736882;-171.04381214528019
2976;1.5635073717183603;-171.09967950621473
2981;1.5558170821118826;-171.1550430918196
2986;1.5482171199627066;-171.20991141795486
2991;1.5407060543126572;-171.2642928185755
2996;1.533282484396937;-171.31819545056857
3001;1.5259450388654747;-171.37162729843797
